UserID;ScenarioID;controlMode;requestID;elapsedTimeSinceAccess;distanceTravelledSinceLastLog;distanceToEndOfInstructedPath;lengthOfCurrentInstructedPath;lengthOfCurrentInstructedInputPath;distanceToEnd;vehiclePosition;vehicleSpeed;constructionSiteEntered;endReached;closestLane;currentLaneDeviation;timeOfCollisionAvoidanceTraffic;timeOfCollisionAvoidanceObstacle;timeOfCollisionAvoidancePedestrian;amountOfAdditionInput;amountOfAdditionMarkers;amountOfSnapToMiddleInput;amountOfSnapToMiddleMarkers;amountOfReadjustmentInput;timeSinceLastInput;currentlyNeglectedTime;blindTimeSum;isMainRequest;isSecondaryRequest;totalRequestAmount;sideOfConstructionSite;
AS21;-3;Waypoint;1;2,4;0,9337944;190,3058;185,4861;185,4861;588,0094;(-3.26, -0.44, 9.72);33,00094;False;False;1;0,05968166;0,00;0,00;0,00;0;0;0;0;0;2,4;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;2,5;1,137172;189,1689;184,3433;184,3433;586,873;(-3.57, -0.44, 10.66);34,34036;False;False;1;0,04721199;0,00;0,00;0,00;0;0;0;0;0;2,5;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;2,6;1,187487;187,9817;183,2005;183,2005;585,6862;(-3.90, -0.44, 11.65);35,85964;False;False;1;0,03510918;0,00;0,00;0,00;0;0;0;0;0;2,6;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;2,7;1,058203;186,9237;182,0576;182,0576;584,6285;(-4.19, -0.44, 12.53);37,35639;False;False;1;0,02937557;0,00;0,00;0,00;0;0;0;0;0;2,7;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;2,8;1,280507;185,6435;180,9148;180,9148;583,3487;(-4.55, -0.44, 13.59);38,61583;False;False;1;0,03334657;0,00;0,00;0,00;0;0;0;0;0;2,8;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;2,9;1,328153;184,3157;179,2005;179,2005;582,0214;(-4.91, -0.44, 14.69);40,06004;False;False;1;0,04493774;0,00;0,00;0,00;0;0;0;0;0;2,9;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;3,0;1,176413;183,1395;178,0578;178,0578;580,8455;(-5.24, -0.44, 15.67);41,47554;False;False;1;0,06004803;0,00;0,00;0,00;0;0;0;0;0;3,0;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;3,1;1,210538;181,9293;176,915;176,915;579,6357;(-5.57, -0.44, 16.68);42,66462;False;False;1;0,07704513;0,00;0,00;0,00;0;0;0;0;0;3,1;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;3,2;1,454878;180,4748;175,2008;175,2008;578,1816;(-5.98, -0.44, 17.88);44,02896;False;False;1;0,09934586;0,00;0,00;0,00;0;0;0;0;0;3,2;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;3,3;1,499016;178,9762;173,4866;173,4866;576,6835;(-6.39, -0.44, 19.13);45,35812;False;False;1;0,1228924;0,00;0,00;0,00;0;0;0;0;0;3,3;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;3,4;1,31977;177,6567;172,3437;172,3437;575,3644;(-6.75, -0.44, 20.22);46,47791;False;False;1;0,1448265;0,00;0,00;0,00;0;0;0;0;0;3,4;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;3,5;1,579904;176,0772;170,6295;170,6295;573,7855;(-7.19, -0.44, 21.54);47,75109;False;False;1;0,1721462;0,00;0,00;0,00;0;0;0;0;0;3,5;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;3,6;1,621087;174,4564;168,9153;168,9153;572,165;(-7.63, -0.44, 22.88);48,98964;False;False;1;0,1933631;0,00;0,00;0,00;0;0;0;0;0;3,6;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;3,7;1,422477;173,034;167,7726;167,7726;570,7427;(-8.01, -0.44, 24.07);50,04296;False;False;1;0,1966757;0,00;0,00;0,00;0;0;0;0;0;3,7;0,0;0,0;True;False;-1;Left;
AS21;-3;Waypoint;1;3,8;1,697863;171,3361;165,4868;165,4868;569,045;(-8.45, -0.44, 25.49);51,28505;False;False;1;0,1983226;0,00;0,00;0,00;0;0;0;0;0;3,8;0,0;0,0;True;False;-1;Left;
